,DateTime,temperature,power,energy,aX,aY,aZ,gX,gY,gZ
160,2021-05-25 15:33:40.305,,,,,,,,-0.1,
161,2021-05-25 15:33:40.316,,,,,,,,,0.1
162,2021-05-25 15:33:40.883,,,,1.0,,,,,
163,2021-05-25 15:33:40.924,,,,,-0.1,,,,
164,2021-05-25 15:33:40.937,,,,,,-0.1,,,
165,2021-05-25 15:33:40.950,,,,,,,-0.1,,
166,2021-05-25 15:33:40.957,,,,,,,,-0.1,
167,2021-05-25 15:33:40.969,,,,,,,,,0.1
168,2021-05-25 15:33:41.507,,,,1.0,,,,,
169,2021-05-25 15:33:41.579,,,,,-0.1,,,,
170,2021-05-25 15:33:41.596,,,,,,-0.1,,,
171,2021-05-25 15:33:41.606,,,,,,,0.1,,
172,2021-05-25 15:33:41.618,,,,,,,,-0.1,
173,2021-05-25 15:33:41.631,,,,,,,,,-0.0
174,2021-05-25 15:33:42.136,,,,1.0,,,,,
175,2021-05-25 15:33:42.192,,,,,-0.1,,,,
176,2021-05-25 15:33:42.262,,,,,,-0.1,,,
177,2021-05-25 15:33:42.281,,,,,,,-0.0,,
178,2021-05-25 15:33:42.293,,,,,,,,0.1,
179,2021-05-25 15:33:42.308,,,,,,,,,-0.0
180,2021-05-25 15:33:42.766,,,,1.0,,,,,
181,2021-05-25 15:33:42.786,,,,,-0.1,,,,
182,2021-05-25 15:33:42.801,,,,,,-0.1,,,
183,2021-05-25 15:33:42.811,,,,,,,0.1,,
184,2021-05-25 15:33:42.817,,,,,,,,0.6,
185,2021-05-25 15:33:42.831,,,,,,,,,0.0
186,2021-05-25 15:33:43.409,,,,1.0,,,,,
187,2021-05-25 15:33:43.466,,,,,-0.0,,,,
188,2021-05-25 15:33:43.479,,,,,,-0.2,,,
189,2021-05-25 15:33:43.486,,,,,,,-2.0,,
190,2021-05-25 15:33:43.498,,,,,,,,-1.0,
191,2021-05-25 15:33:43.506,,,,,,,,,0.0
192,2021-05-25 15:33:44.044,,,,1.0,,,,,
